-mp1.0-sw0.1-mlp0.6-df10-mpps30-msl50
average sequence length: 7.80
max:292, min:4
len_train:40226, len_test:40226, usernum:40226, itemnum:54542
begin to generate train
document num: 40226
step: 0, name: ForkPoolWorker-1, step: 1000, time: 2.6045057750000002
step: 1, name: ForkPoolWorker-2, step: 1000, time: 2.666196098
step: 2, name: ForkPoolWorker-3, step: 1000, time: 2.991014263
step: 3, name: ForkPoolWorker-4, step: 1000, time: 3.0196950979999997
step: 4, name: ForkPoolWorker-5, step: 1000, time: 3.046905291
step: 5, name: ForkPoolWorker-6, step: 1000, time: 3.053124785
step: 6, name: ForkPoolWorker-7, step: 1000, time: 3.146941257
step: 7, name: ForkPoolWorker-8, step: 1000, time: 3.1524437300000003
step: 8, name: ForkPoolWorker-9, step: 1000, time: 3.207062189
step: 9, name: ForkPoolWorker-10, step: 1000, time: 3.1818058760000003
step: 1, name: ForkPoolWorker-2, step: 2000, time: 3.362361384
step: 0, name: ForkPoolWorker-1, step: 2000, time: 3.597201151
step: 3, name: ForkPoolWorker-4, step: 2000, time: 3.1762977030000004
step: 2, name: ForkPoolWorker-3, step: 2000, time: 3.861667123
step: 4, name: ForkPoolWorker-5, step: 2000, time: 3.906252168
step: 5, name: ForkPoolWorker-6, step: 2000, time: 3.869537948
step: 6, name: ForkPoolWorker-7, step: 2000, time: 3.87509987
step: 7, name: ForkPoolWorker-8, step: 2000, time: 3.863469174
step: 8, name: ForkPoolWorker-9, step: 2000, time: 3.9646078279999997
step: 9, name: ForkPoolWorker-10, step: 2000, time: 3.9252437380000003
step: 1, name: ForkPoolWorker-2, step: 3000, time: 2.50243271
step: 3, name: ForkPoolWorker-4, step: 3000, time: 2.3351703499999994
step: 0, name: ForkPoolWorker-1, step: 3000, time: 2.9062856770000005
step: 2, name: ForkPoolWorker-3, step: 3000, time: 2.880834405
step: 4, name: ForkPoolWorker-5, step: 3000, time: 2.9053983179999996
step: 5, name: ForkPoolWorker-6, step: 3000, time: 2.877800872
step: 6, name: ForkPoolWorker-7, step: 3000, time: 2.9331731209999994
step: 7, name: ForkPoolWorker-8, step: 3000, time: 2.900470534
step: 8, name: ForkPoolWorker-9, step: 3000, time: 2.938260897000001
step: 9, name: ForkPoolWorker-10, step: 3000, time: 2.918577804
step: 1, name: ForkPoolWorker-2, step: 4000, time: 3.099512453000001
step: 3, name: ForkPoolWorker-4, step: 4000, time: 2.8698160589999997
step: 0, name: ForkPoolWorker-1, step: 4000, time: 3.5492696739999996
step: 2, name: ForkPoolWorker-3, step: 4000, time: 3.5330031040000005
step: 5, name: ForkPoolWorker-6, step: 4000, time: 3.4909455100000013
step: 4, name: ForkPoolWorker-5, step: 4000, time: 3.5517033750000007
step: 6, name: ForkPoolWorker-7, step: 4000, time: 3.485874999
step: 3, name: ForkPoolWorker-4, step: 5000, time: 2.5823198120000015
step: 7, name: ForkPoolWorker-8, step: 4000, time: 3.4795638569999987
step: 1, name: ForkPoolWorker-2, step: 5000, time: 2.880393872000001
step: 8, name: ForkPoolWorker-9, step: 4000, time: 3.477054656
step: 9, name: ForkPoolWorker-10, step: 4000, time: 3.5324403439999994
step: 0, name: ForkPoolWorker-1, step: 5000, time: 2.521491767999999
step: 2, name: ForkPoolWorker-3, step: 5000, time: 3.0225962379999984
step: 6, name: ForkPoolWorker-7, step: 5000, time: 2.5971592710000007
step: 3, name: ForkPoolWorker-4, step: 6000, time: 2.6314228990000004
step: 5, name: ForkPoolWorker-6, step: 5000, time: 3.030432704999999
step: 4, name: ForkPoolWorker-5, step: 5000, time: 3.078958910999999
step: 7, name: ForkPoolWorker-8, step: 5000, time: 3.0470485739999997
step: 1, name: ForkPoolWorker-2, step: 6000, time: 3.0459241329999998
