-mp1.0-sw0.1-mlp0.6-df10-mpps30-msl50
average sequence length: 7.80
max:292, min:4
len_train:40226, len_test:40226, usernum:40226, itemnum:54542
begin to generate train
document num: 40226
step: 0, name: ForkPoolWorker-1, step: 1000, time: 2.826914105
step: 1, name: ForkPoolWorker-2, step: 1000, time: 2.872615389
step: 2, name: ForkPoolWorker-3, step: 1000, time: 2.906490699
step: 4, name: ForkPoolWorker-5, step: 1000, time: 2.8864613279999998
step: 3, name: ForkPoolWorker-4, step: 1000, time: 3.0886719759999997
step: 6, name: ForkPoolWorker-7, step: 1000, time: 2.66830003
step: 5, name: ForkPoolWorker-6, step: 1000, time: 3.152563302
step: 7, name: ForkPoolWorker-8, step: 1000, time: 3.161520796
step: 9, name: ForkPoolWorker-10, step: 1000, time: 2.975218586
step: 8, name: ForkPoolWorker-9, step: 1000, time: 3.131681299
step: 1, name: ForkPoolWorker-2, step: 2000, time: 3.622860694
step: 0, name: ForkPoolWorker-1, step: 2000, time: 3.834068847
step: 6, name: ForkPoolWorker-7, step: 2000, time: 3.2966554479999997
step: 2, name: ForkPoolWorker-3, step: 2000, time: 3.842667442
step: 3, name: ForkPoolWorker-4, step: 2000, time: 3.6338013600000005
step: 4, name: ForkPoolWorker-5, step: 2000, time: 3.840666761
step: 7, name: ForkPoolWorker-8, step: 2000, time: 3.4709068019999996
step: 5, name: ForkPoolWorker-6, step: 2000, time: 3.9132589600000003
step: 9, name: ForkPoolWorker-10, step: 2000, time: 3.9200407760000004
step: 8, name: ForkPoolWorker-9, step: 2000, time: 3.9451668979999996
step: 6, name: ForkPoolWorker-7, step: 3000, time: 2.479799068
step: 0, name: ForkPoolWorker-1, step: 3000, time: 2.8760272220000003
step: 1, name: ForkPoolWorker-2, step: 3000, time: 2.949043982
step: 3, name: ForkPoolWorker-4, step: 3000, time: 2.541952981999999
step: 2, name: ForkPoolWorker-3, step: 3000, time: 2.742675478999999
step: 4, name: ForkPoolWorker-5, step: 3000, time: 2.884742374999999
step: 7, name: ForkPoolWorker-8, step: 3000, time: 2.7883282339999997
step: 5, name: ForkPoolWorker-6, step: 3000, time: 2.8961632010000002
step: 9, name: ForkPoolWorker-10, step: 3000, time: 2.9176870640000008
step: 8, name: ForkPoolWorker-9, step: 3000, time: 2.992846634
step: 6, name: ForkPoolWorker-7, step: 4000, time: 3.0408640690000013
step: 2, name: ForkPoolWorker-3, step: 4000, time: 2.850332388
step: 0, name: ForkPoolWorker-1, step: 4000, time: 3.507431232
step: 3, name: ForkPoolWorker-4, step: 4000, time: 3.5342829360000003
step: 1, name: ForkPoolWorker-2, step: 4000, time: 3.644027136
step: 4, name: ForkPoolWorker-5, step: 4000, time: 3.504069940000001
step: 7, name: ForkPoolWorker-8, step: 4000, time: 3.470111762
step: 5, name: ForkPoolWorker-6, step: 4000, time: 3.478108175000001
step: 9, name: ForkPoolWorker-10, step: 4000, time: 3.483907608999999
step: 8, name: ForkPoolWorker-9, step: 4000, time: 3.5651483820000003
step: 6, name: ForkPoolWorker-7, step: 5000, time: 2.580326202
step: 2, name: ForkPoolWorker-3, step: 5000, time: 2.495722766
step: 0, name: ForkPoolWorker-1, step: 5000, time: 3.009558442000001
step: 3, name: ForkPoolWorker-4, step: 5000, time: 3.0157210039999995
step: 1, name: ForkPoolWorker-2, step: 5000, time: 3.1084339780000008
step: 4, name: ForkPoolWorker-5, step: 5000, time: 3.0550328380000007
step: 7, name: ForkPoolWorker-8, step: 5000, time: 3.0157535159999984
step: 5, name: ForkPoolWorker-6, step: 5000, time: 3.0144790269999984
step: 6, name: ForkPoolWorker-7, step: 6000, time: 2.6215047929999997
step: 2, name: ForkPoolWorker-3, step: 6000, time: 2.6257934359999986
