-mp1.0-sw0.5-mlp0.4-df10-mppq20-msl50
average sequence length: 11.40
max:1230, min:4
len_train:281428, len_test:281428, usernum:281428, itemnum:13044
begin to generate train
document num: 281428
step: 0, name: ForkPoolWorker-1, step: 1000, time: 5.029388292
step: 1, name: ForkPoolWorker-2, step: 1000, time: 5.273442804999999
step: 2, name: ForkPoolWorker-3, step: 1000, time: 5.258079937
step: 0, name: ForkPoolWorker-1, step: 2000, time: 3.4712425220000007
step: 3, name: ForkPoolWorker-4, step: 1000, time: 5.956940122000001
step: 4, name: ForkPoolWorker-5, step: 1000, time: 5.945568639
step: 1, name: ForkPoolWorker-2, step: 2000, time: 3.991151792
step: 5, name: ForkPoolWorker-6, step: 1000, time: 5.386902676
step: 2, name: ForkPoolWorker-3, step: 2000, time: 3.7789151480000003
step: 6, name: ForkPoolWorker-7, step: 1000, time: 6.286631253
step: 0, name: ForkPoolWorker-1, step: 3000, time: 4.220480285999999
step: 3, name: ForkPoolWorker-4, step: 2000, time: 4.189186411
step: 5, name: ForkPoolWorker-6, step: 2000, time: 3.525242091999999
step: 7, name: ForkPoolWorker-8, step: 1000, time: 6.540511499000001
step: 4, name: ForkPoolWorker-5, step: 2000, time: 4.185333487
step: 1, name: ForkPoolWorker-2, step: 3000, time: 4.904342956999999
step: 8, name: ForkPoolWorker-9, step: 1000, time: 6.503190047
step: 2, name: ForkPoolWorker-3, step: 3000, time: 4.849301467
step: 0, name: ForkPoolWorker-1, step: 4000, time: 3.193462472000002
step: 9, name: ForkPoolWorker-10, step: 1000, time: 6.3081194499999995
step: 6, name: ForkPoolWorker-7, step: 2000, time: 4.116312351
step: 3, name: ForkPoolWorker-4, step: 3000, time: 4.801985300000002
step: 7, name: ForkPoolWorker-8, step: 2000, time: 3.9755344610000005
step: 5, name: ForkPoolWorker-6, step: 3000, time: 4.240218527
step: 1, name: ForkPoolWorker-2, step: 4000, time: 3.6736708
step: 0, name: ForkPoolWorker-1, step: 5000, time: 2.9802867980000016
step: 4, name: ForkPoolWorker-5, step: 3000, time: 4.813152974000001
step: 8, name: ForkPoolWorker-9, step: 2000, time: 4.086987246000001
step: 2, name: ForkPoolWorker-3, step: 4000, time: 3.7799701179999996
step: 9, name: ForkPoolWorker-10, step: 2000, time: 4.174509299000001
step: 6, name: ForkPoolWorker-7, step: 3000, time: 4.836428231999999
step: 5, name: ForkPoolWorker-6, step: 4000, time: 3.196597344999999
step: 0, name: ForkPoolWorker-1, step: 6000, time: 2.8140650680000014
step: 3, name: ForkPoolWorker-4, step: 4000, time: 3.842302353000001
step: 1, name: ForkPoolWorker-2, step: 5000, time: 3.599257841
step: 4, name: ForkPoolWorker-5, step: 4000, time: 3.6282733779999994
step: 7, name: ForkPoolWorker-8, step: 3000, time: 4.872755702999999
step: 2, name: ForkPoolWorker-3, step: 5000, time: 3.558720569000002
step: 8, name: ForkPoolWorker-9, step: 3000, time: 4.794622970000001
step: 0, name: ForkPoolWorker-1, step: 7000, time: 2.599906322999999
step: 5, name: ForkPoolWorker-6, step: 5000, time: 2.992218715
step: 6, name: ForkPoolWorker-7, step: 4000, time: 3.6864437179999996
step: 9, name: ForkPoolWorker-10, step: 3000, time: 4.857660591
step: 3, name: ForkPoolWorker-4, step: 5000, time: 3.605340075000001
step: 1, name: ForkPoolWorker-2, step: 6000, time: 3.3898319489999977
step: 4, name: ForkPoolWorker-5, step: 5000, time: 3.611917990000002
step: 2, name: ForkPoolWorker-3, step: 6000, time: 3.176988873999999
step: 0, name: ForkPoolWorker-1, step: 8000, time: 2.2867455139999997
step: 7, name: ForkPoolWorker-8, step: 4000, time: 3.8449225629999972
step: 5, name: ForkPoolWorker-6, step: 6000, time: 2.808452736000003
step: 8, name: ForkPoolWorker-9, step: 4000, time: 3.8486728349999986
step: 6, name: ForkPoolWorker-7, step: 5000, time: 3.6022166439999985
step: 3, name: ForkPoolWorker-4, step: 6000, time: 3.292949925000002
step: 1, name: ForkPoolWorker-2, step: 7000, time: 3.027724514999999
step: 0, name: ForkPoolWorker-1, step: 9000, time: 2.2677542730000013
step: 9, name: ForkPoolWorker-10, step: 4000, time: 3.786076813000001
step: 2, name: ForkPoolWorker-3, step: 7000, time: 3.074047798999999
step: 4, name: ForkPoolWorker-5, step: 6000, time: 3.315244767000003
step: 5, name: ForkPoolWorker-6, step: 7000, time: 2.6012506620000018
step: 7, name: ForkPoolWorker-8, step: 5000, time: 3.5219970499999995
step: 0, name: ForkPoolWorker-1, step: 10000, time: 2.4403886959999994
step: 1, name: ForkPoolWorker-2, step: 8000, time: 2.736090547
step: 8, name: ForkPoolWorker-9, step: 5000, time: 3.603800435
step: 3, name: ForkPoolWorker-4, step: 7000, time: 3.109871887999997
step: 6, name: ForkPoolWorker-7, step: 6000, time: 3.3811160450000024
step: 2, name: ForkPoolWorker-3, step: 8000, time: 2.7060434099999995
step: 5, name: ForkPoolWorker-6, step: 8000, time: 2.2855563629999978
step: 9, name: ForkPoolWorker-10, step: 5000, time: 3.5447377929999995
step: 4, name: ForkPoolWorker-5, step: 7000, time: 3.0232247789999995
step: 0, name: ForkPoolWorker-1, step: 11000, time: 1.8424164340000004
step: 7, name: ForkPoolWorker-8, step: 6000, time: 3.3386996420000017
step: 1, name: ForkPoolWorker-2, step: 9000, time: 2.7322596440000027
step: 5, name: ForkPoolWorker-6, step: 9000, time: 2.2665624209999997
step: 3, name: ForkPoolWorker-4, step: 8000, time: 2.7566287480000007
step: 2, name: ForkPoolWorker-3, step: 9000, time: 2.6790685859999996
step: 8, name: ForkPoolWorker-9, step: 6000, time: 3.394062550000001
step: 0, name: ForkPoolWorker-1, step: 12000, time: 1.9987171669999952
step: 6, name: ForkPoolWorker-7, step: 7000, time: 3.116607073000001
step: 4, name: ForkPoolWorker-5, step: 8000, time: 2.727179359000001
step: 9, name: ForkPoolWorker-10, step: 6000, time: 3.3246636749999965
step: 7, name: ForkPoolWorker-8, step: 7000, time: 3.0577238169999994
step: 5, name: ForkPoolWorker-6, step: 10000, time: 2.4435548979999986
step: 0, name: ForkPoolWorker-1, step: 13000, time: 1.900561635999999
step: 1, name: ForkPoolWorker-2, step: 10000, time: 2.9472064800000055
step: 3, name: ForkPoolWorker-4, step: 9000, time: 2.736304484999998
step: 2, name: ForkPoolWorker-3, step: 10000, time: 2.886731155999996
step: 6, name: ForkPoolWorker-7, step: 8000, time: 2.6629395380000034
step: 4, name: ForkPoolWorker-5, step: 9000, time: 2.652816871000006
step: 8, name: ForkPoolWorker-9, step: 7000, time: 3.0276929929999987
step: 5, name: ForkPoolWorker-6, step: 11000, time: 1.8452472839999956
step: 0, name: ForkPoolWorker-1, step: 14000, time: 1.8131912379999946
step: 9, name: ForkPoolWorker-10, step: 7000, time: 3.0677483449999983
step: 1, name: ForkPoolWorker-2, step: 11000, time: 2.156614073
step: 7, name: ForkPoolWorker-8, step: 8000, time: 2.665048328000001
step: 2, name: ForkPoolWorker-3, step: 11000, time: 2.179434477000001
step: 3, name: ForkPoolWorker-4, step: 10000, time: 2.860743292000002
step: 6, name: ForkPoolWorker-7, step: 9000, time: 2.647105966000005
step: 0, name: ForkPoolWorker-1, step: 15000, time: 1.847072507
step: 5, name: ForkPoolWorker-6, step: 12000, time: 1.9670313920000027
step: 8, name: ForkPoolWorker-9, step: 8000, time: 2.6712929899999978
step: 4, name: ForkPoolWorker-5, step: 10000, time: 2.8792181730000053
step: 1, name: ForkPoolWorker-2, step: 12000, time: 2.299989661000005
step: 9, name: ForkPoolWorker-10, step: 8000, time: 2.721719217999997
step: 7, name: ForkPoolWorker-8, step: 9000, time: 2.7008797960000024
step: 2, name: ForkPoolWorker-3, step: 12000, time: 2.353787496999999
step: 0, name: ForkPoolWorker-1, step: 16000, time: 1.532682145999999
